class name,time,location,instructors,dates,campus
ARC 5343 - Architectural Design 8,TuTh 2:00PM - 6:15PM,Paul Cejas Architecture 218,Cynthia Ottchen,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5361 - Integrated Comprehensive Design,TuTh 2:00PM - 6:15PM,Paul Cejas Architecture 310,Mark Marine,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5361 - Integrated Comprehensive Design,TuTh 2:00PM - 6:15PM,Paul Cejas Architecture 315,Schneur Meyer,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5361 - Integrated Comprehensive Design,TuTh 2:00PM - 6:15PM,Paul Cejas Architecture 315,Moises Torres-Rodriguez,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5483 - Integrated Building Systems,TuTh 11:00AM - 12:15PM,Ziff Education Bldg 120,Mark Marine,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5554 - Structures 2,Tu 8:00AM - 9:15AM,Paul Cejas Architecture 135,Shantia Morel,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5554L - Structures 2 Lab,We 12:00PM - 1:40PM,Paul Cejas Architecture 341,"Shantia Morel,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5554L - Structures 2 Lab,We 3:00PM - 4:40PM,Paul Cejas Architecture 341,"Shantia Morel,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5554L - Structures 2 Lab,Th 10:50AM - 12:25PM,Paul Cejas Architecture 341,"Shantia Morel,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5554L - Structures 2 Lab,TBA,TBA,TBA OCM,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5554L - Structures 2 Lab,We 8:00AM - 9:40AM,Paul Cejas Architecture 341,Shantia Morel,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5582 - Structures 1,Tu 8:00AM - 9:15AM,Paul Cejas Architecture 167,Claudia Garcia,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5582L - Structures 1 Lab,Th 8:00AM - 9:40AM,Paul Cejas Architecture 341,Claudia Garcia,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5612 - Environmental Systems in Architecture 1,TuTh 6:25PM - 7:40PM,Paul Cejas Architecture 150,Megan Suarez,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5711 - History of Design Antiquity to Middle Ages,MoWeFr 10:00AM - 10:50AM,Green Library 100,"Elliott Sturtevant,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5744 - History of Design from the XIX Century to Present,Th 9:05AM - 10:45AM,Paul Cejas Architecture 135,"Katarzyna Balug,",08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5744L - History of Design from the XIX Century to Present Lab,We 8:00AM - 8:50AM,Graham Center 274,Katarzyna Balug,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5744L - History of Design from the XIX Century to Present Lab,We 11:00AM - 11:50AM,Paul Cejas Architecture 341,Katarzyna Balug,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5744L - History of Design from the XIX Century to Present Lab,We 2:00PM - 2:50PM,Paul Cejas Architecture 341,Katarzyna Balug,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5744L - History of Design from the XIX Century to Present Lab,We 5:00PM - 6:00PM,Paul Cejas Architecture 341,Katarzyna Balug,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5935 - Special Topics,Mo 10:00AM - 12:30PM,Paul Cejas Architecture 171,Nicholas Nedev,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5935 - Special Topics,Tu 11:00AM - 12:15PM,Academic Health Center 4 -202,Thomas Spiegelhalter,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5935 - Special Topics,TuTh 11:00AM - 12:15PM,Paul Cejas Architecture 118,Jason Chandler,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 5935 - Special Topics,Th 11:00AM - 1:30PM,Paul Cejas Architecture 218,Katarzyna Balug,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 6356 - Architectural Design 10,TuTh 2:00PM - 6:15PM,Paul Cejas Architecture 215,Jason Chandler,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
ARC 6356 - Architectural Design 10,TuTh 2:00PM - 6:15PM,Paul Cejas Architecture 310,Jaime Canaves,08/26/2024 - 12/07/2024,Modesto A. Maidique Campus
